"ID";"fileName";"fileNamePE";"experiment";"tissue";"condition";"replicate";"lane";"merge";"input";"pairedEnd";"macsGroup";"phredScore";"adapter";"trimQuality";"adapterPE";"trimQualityPE"
"SRR502110";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Yale_ChipSeq_K562_Input_std";"";2;"SRX150443";NA;"false";"";"";"";"";"";""
"SRR502111";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_c-Jun_IgG-rab";"";1;"SRX150444";NA;"false";"";"";"";"";"";""
"SRR502112";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_c-Jun_IgG-rab";"";2;"SRX150444";NA;"false";"";"";"";"";"";""
"SRR502113";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_E2F4_std";"";1;"SRX150445";NA;"false";"";"";"";"";"";""
"SRR502114";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_E2F4_std";"";2;"SRX150445";NA;"false";"";"";"";"";"";""
"SRR502115";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_HA-E2F1_std";"";1;"SRX150446";NA;"false";"";"";"";"";"";""
"SRR502116";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_HA-E2F1_std";"";2;"SRX150446";NA;"false";"";"";"";"";"";""
"SRR502117";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_AP-2alpha_std";"";1;"SRX150447";NA;"false";"";"";"";"";"";""
"SRR502118";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_AP-2alpha_std";"";2;"SRX150447";NA;"false";"";"";"";"";"";""
"SRR502119";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"USC_ChipSeq_K562_YY1_UCDavis";"";1;"SRX150448";NA;"false";"";"";"";"";"";""
"SRR502120";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"USC_ChipSeq_K562_YY1_UCDavis";"";2;"SRX150448";NA;"false";"";"";"";"";"";""
"SRR502121";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_TR4_std";"";1;"SRX150449";NA;"false";"";"";"";"";"";""
"SRR502122";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_TR4_std";"";2;"SRX150449";NA;"false";"";"";"";"";"";""
"SRR502123";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_AP-2gamma_std";"";1;"SRX150450";NA;"false";"";"";"";"";"";""
"SRR502124";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_AP-2gamma_std";"";2;"SRX150450";NA;"false";"";"";"";"";"";""
"SRR502125";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_SIRT6_std";"";1;"SRX150451";NA;"false";"";"";"";"";"";""
"SRR502126";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_SIRT6_std";"";2;"SRX150451";NA;"false";"";"";"";"";"";""
"SRR502127";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_RPC155_std";"";1;"SRX150452";NA;"false";"";"";"";"";"";""
"SRR502128";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_RPC155_std";"";2;"SRX150452";NA;"false";"";"";"";"";"";""
"SRR502131";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"USC_ChipSeq_K562_TR4_UCDavis";"";1;"SRX150454";NA;"false";"";"";"";"";"";""
"SRR502132";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"USC_ChipSeq_K562_TR4_UCDavis";"";2;"SRX150454";NA;"false";"";"";"";"";"";""
"SRR502133";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_EBF1_(SC-137065)_std";"";1;"SRX150455";NA;"false";"";"";"";"";"";""
"SRR502134";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_EBF1_(SC-137065)_std";"";2;"SRX150455";NA;"false";"";"";"";"";"";""
"SRR502135";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_SMC3_(ab9263)_IgG-mus";"";1;"SRX150456";NA;"false";"";"";"";"";"";""
"SRR502136";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_SMC3_(ab9263)_IgG-mus";"";2;"SRX150456";NA;"false";"";"";"";"";"";""
"SRR502137";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_BRCA1_(A300-000A)_IgG-mus";"";1;"SRX150457";NA;"false";"";"";"";"";"";""
"SRR502138";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_BRCA1_(A300-000A)_IgG-mus";"";2;"SRX150457";NA;"false";"";"";"";"";"";""
"SRR502139";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_CHD2_(AB68301)_IgG-mus";"";1;"SRX150458";NA;"false";"";"";"";"";"";""
"SRR502140";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_CHD2_(AB68301)_IgG-mus";"";2;"SRX150458";NA;"false";"";"";"";"";"";""
"SRR502141";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_Rad21_IgG-rab";"";1;"SRX150459";NA;"false";"";"";"";"";"";""
"SRR502142";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_Rad21_IgG-rab";"";2;"SRX150459";NA;"false";"";"";"";"";"";""
"SRR502143";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_USF2_IgG-rab";"";1;"SRX150460";NA;"false";"";"";"";"";"";""
"SRR502144";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_USF2_IgG-rab";"";2;"SRX150460";NA;"false";"";"";"";"";"";""
"SRR502145";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_Input_IgG-rab";"";1;NA;NA;"false";"";"";"";"";"";""
"SRR502146";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_RFX5_(200-401-194)_IgG-rab";"";1;"SRX150462";NA;"false";"";"";"";"";"";""
"SRR502147";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_RFX5_(200-401-194)_IgG-rab";"";2;"SRX150462";NA;"false";"";"";"";"";"";""
"SRR502148";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_Pol2(phosphoS2)_IgG-rab";"";1;"SRX150463";NA;"false";"";"";"";"";"";""
"SRR502149";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_Pol2(phosphoS2)_IgG-rab";"";2;"SRX150463";NA;"false";"";"";"";"";"";""
"SRR502150";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_SMC3_(ab9263)_IgG-rab";"";1;"SRX150464";NA;"false";"";"";"";"";"";""
"SRR502151";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_SMC3_(ab9263)_IgG-rab";"";2;"SRX150464";NA;"false";"";"";"";"";"";""
"SRR502152";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_COREST_(ab24166)_IgG-rab";"";1;"SRX150465";NA;"false";"";"";"";"";"";""
"SRR502153";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_COREST_(ab24166)_IgG-rab";"";2;"SRX150465";NA;"false";"";"";"";"";"";""
"SRR502154";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_COREST_(ab24166)_IgG-rab";"";3;"SRX150465";NA;"false";"";"";"";"";"";""
"SRR502155";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_Pol2_IgG-mus";"";1;"SRX150466";NA;"false";"";"";"";"";"";""
"SRR502156";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_Pol2_IgG-mus";"";2;"SRX150466";NA;"false";"";"";"";"";"";""
"SRR502157";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_Pol2_IgG-mus";"";3;"SRX150466";NA;"false";"";"";"";"";"";""
"SRR502158";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_Pol2_IgG-mus";"";4;"SRX150466";NA;"false";"";"";"";"";"";""
"SRR502159";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_Pol2_IgG-mus";"";5;"SRX150466";NA;"false";"";"";"";"";"";""
"SRR502160";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_Pol2_IgG-mus";"";6;"SRX150466";NA;"false";"";"";"";"";"";""
"SRR502161";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_Pol2_IgG-mus";"";7;"SRX150466";NA;"false";"";"";"";"";"";""
"SRR502162";"";"";"SRP007993";"GM12891 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12891_Input_IgG-mus";"";1;"SRX150467";NA;"false";"";"";"";"";"";""
"SRR502163";"";"";"SRP007993";"GM12891 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12891_Input_IgG-mus";"";2;"SRX150467";NA;"false";"";"";"";"";"";""
"SRR502164";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_IFNg30_Pol2_std";"";1;"SRX150468";NA;"false";"";"";"";"";"";""
"SRR502165";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_IFNg30_Pol2_std";"";2;"SRX150468";NA;"false";"";"";"";"";"";""
"SRR502166";"";"";"SRP007993";"GM10847 -;- lymphoblastoid, International HapMap Project, CEPH/Utah, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM10847_Pol2_IgG-mus";"";1;"SRX150469";NA;"false";"";"";"";"";"";""
"SRR502167";"";"";"SRP007993";"GM10847 -;- lymphoblastoid, International HapMap Project, CEPH/Utah, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM10847_Pol2_IgG-mus";"";2;"SRX150469";NA;"false";"";"";"";"";"";""
"SRR502168";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_Input_IgG-mus";"";1;"SRX150470";NA;"false";"";"";"";"";"";""
"SRR502169";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_Input_IgG-mus";"";2;"SRX150470";NA;"false";"";"";"";"";"";""
"SRR502170";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_ATF3_std";"";1;"SRX150471";NA;"false";"";"";"";"";"";""
"SRR502171";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_ATF3_std";"";2;"SRX150471";NA;"false";"";"";"";"";"";""
"SRR502172";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_NELFe_std";"";1;"SRX150472";NA;"false";"";"";"";"";"";""
"SRR502173";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_NELFe_std";"";2;"SRX150472";NA;"false";"";"";"";"";"";""
"SRR502174";"";"";"SRP007993";"HUVEC -;- umbilical vein endothelial cells -;- mesoderm";"Stanford_ChipSeq_HUVEC_Pol2_std";"";1;"SRX150473";NA;"false";"";"";"";"";"";""
"SRR502175";"";"";"SRP007993";"HUVEC -;- umbilical vein endothelial cells -;- mesoderm";"Stanford_ChipSeq_HUVEC_Pol2_std";"";2;"SRX150473";NA;"false";"";"";"";"";"";""
"SRR502176";"";"";"SRP007993";"HUVEC -;- umbilical vein endothelial cells -;- mesoderm";"Stanford_ChipSeq_HUVEC_Pol2_std";"";3;"SRX150473";NA;"false";"";"";"";"";"";""
"SRR502177";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_GTF2B_std";"";1;"SRX150474";NA;"false";"";"";"";"";"";""
"SRR502178";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_GTF2B_std";"";2;"SRX150474";NA;"false";"";"";"";"";"";""
"SRR502179";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Yale_ChipSeq_HeLa-S3_Pol2_std";"";1;"SRX150475";NA;"false";"";"";"";"";"";""
"SRR502180";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Yale_ChipSeq_HeLa-S3_Pol2_std";"";2;"SRX150475";NA;"false";"";"";"";"";"";""
"SRR502181";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Yale_ChipSeq_HeLa-S3_Pol2_std";"";3;"SRX150475";NA;"false";"";"";"";"";"";""
"SRR502182";"";"";"SRP007993";"MCF10A-Er-Src -;- mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER) -;- ectoderm";"Harvard_ChipSeq_MCF10A-Er-Src_4OHTAM_1uM_36hr_c-Fos_Harvard_Control";"";1;"SRX150476";NA;"false";"";"";"";"";"";""
"SRR502183";"";"";"SRP007993";"MCF10A-Er-Src -;- mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER) -;- ectoderm";"Harvard_ChipSeq_MCF10A-Er-Src_4OHTAM_1uM_36hr_c-Fos_Harvard_Control";"";2;"SRX150476";NA;"false";"";"";"";"";"";""
"SRR502184";"";"";"SRP007993";"MCF10A-Er-Src -;- mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER) -;- ectoderm";"Harvard_ChipSeq_MCF10A-Er-Src_4OHTAM_1uM_4hr_c-Fos_Harvard_Control";"";1;"SRX150477";NA;"false";"";"";"";"";"";""
"SRR502185";"";"";"SRP007993";"MCF10A-Er-Src -;- mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER) -;- ectoderm";"Harvard_ChipSeq_MCF10A-Er-Src_4OHTAM_1uM_4hr_c-Fos_Harvard_Control";"";2;"SRX150477";NA;"false";"";"";"";"";"";""
"SRR502186";"";"";"SRP007993";"MCF10A-Er-Src -;- mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER) -;- ectoderm";"Harvard_ChipSeq_MCF10A-Er-Src_4OHTAM_1uM_12hr_c-Fos_Harvard_Control";"";1;"SRX150478";NA;"false";"";"";"";"";"";""
"SRR502187";"";"";"SRP007993";"MCF10A-Er-Src -;- mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER) -;- ectoderm";"Harvard_ChipSeq_MCF10A-Er-Src_4OHTAM_1uM_12hr_c-Fos_Harvard_Control";"";2;"SRX150478";NA;"false";"";"";"";"";"";""
"SRR502188";"";"";"SRP007993";"MCF10A-Er-Src -;- mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER) -;- ectoderm";"Harvard_ChipSeq_MCF10A-Er-Src_4OHTAM_1uM_12hr_STAT3_Harvard_Control";"";1;"SRX150479";NA;"false";"";"";"";"";"";""
"SRR502189";"";"";"SRP007993";"MCF10A-Er-Src -;- mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER) -;- ectoderm";"Harvard_ChipSeq_MCF10A-Er-Src_4OHTAM_1uM_12hr_STAT3_Harvard_Control";"";2;"SRX150479";NA;"false";"";"";"";"";"";""
"SRR502190";"";"";"SRP007993";"MCF10A-Er-Src -;- mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER) -;- ectoderm";"Harvard_ChipSeq_MCF10A-Er-Src_4OHTAM_1uM_36hr_E2F4_Harvard_Control";"";1;"SRX150480";NA;"false";"";"";"";"";"";""
"SRR502191";"";"";"SRP007993";"MCF10A-Er-Src -;- mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER) -;- ectoderm";"Harvard_ChipSeq_MCF10A-Er-Src_4OHTAM_1uM_36hr_E2F4_Harvard_Control";"";2;"SRX150480";NA;"false";"";"";"";"";"";""
"SRR502192";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_p300_IgG-rab";"";1;"SRX150481";NA;"false";"";"";"";"";"";""
"SRR502193";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_p300_IgG-rab";"";2;"SRX150481";NA;"false";"";"";"";"";"";""
"SRR502194";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_Pol2(phosphoS2)_IgG-rab";"";1;"SRX150482";NA;"false";"";"";"";"";"";""
"SRR502195";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_Pol2(phosphoS2)_IgG-rab";"";2;"SRX150482";NA;"false";"";"";"";"";"";""
"SRR502196";"";"";"SRP007993";"IMR90 -;- fetal lung fibroblasts, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_IMR90_MafK_(ab50322)_IgG-rab";"";1;"SRX150483";NA;"false";"";"";"";"";"";""
"SRR502197";"";"";"SRP007993";"IMR90 -;- fetal lung fibroblasts, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_IMR90_MafK_(ab50322)_IgG-rab";"";2;"SRX150483";NA;"false";"";"";"";"";"";""
"SRR502198";"";"";"SRP007993";"IMR90 -;- fetal lung fibroblasts, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_IMR90_CTCF_(SC-15914)_IgG-rab";"";1;"SRX150484";NA;"false";"";"";"";"";"";""
"SRR502199";"";"";"SRP007993";"IMR90 -;- fetal lung fibroblasts, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_IMR90_CTCF_(SC-15914)_IgG-rab";"";2;"SRX150484";NA;"false";"";"";"";"";"";""
"SRR502200";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_Max_IgG-rab";"";1;"SRX150485";NA;"false";"";"";"";"";"";""
"SRR502201";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_Max_IgG-rab";"";2;"SRX150485";NA;"false";"";"";"";"";"";""
"SRR502202";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_Max_IgG-rab";"";1;"SRX150486";NA;"false";"";"";"";"";"";""
"SRR502203";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_Max_IgG-rab";"";2;"SRX150486";NA;"false";"";"";"";"";"";""
"SRR502204";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_CTCF_(SC-15914)_IgG-rab";"";1;"SRX150487";NA;"false";"";"";"";"";"";""
"SRR502205";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_CTCF_(SC-15914)_IgG-rab";"";2;"SRX150487";NA;"false";"";"";"";"";"";""
